countryname,ccode,iso3c,year,troops
United States,2,USA,2021,1162186
Puerto Rico,6,PRI,2021,161
Canada,20,CAN,2021,138
Bahamas,31,BHS,2021,50
Cuba,40,CUB,2021,623
Haiti,41,HTI,2021,14
Dominican Republic,42,DOM,2021,15
Jamaica,51,JAM,2021,10
Trinidad & Tobago,52,TTO,2021,10
Barbados,53,BRB,2021,8
Dominica,54,DMA,2021,0
Grenada,55,GRD,2021,0
St. Lucia,56,LCA,2021,0
St. Vincent & Grenadines,57,VCT,2021,0
Antigua & Barbuda,58,ATG,2021,0
St. Kitts & Nevis,60,KNA,2021,0
Mexico,70,MEX,2021,76
Belize,80,BLZ,2021,12
Guatemala,90,GTM,2021,20
Honduras,91,HND,2021,371
El Salvador,92,SLV,2021,55
Nicaragua,93,NIC,2021,10
Costa Rica,94,CRI,2021,9
Panama,95,PAN,2021,26
Colombia,100,COL,2021,63
Venezuela,101,VEN,2021,0
Guyana,110,GUY,2021,10
Suriname,115,SUR,2021,1
Ecuador,130,ECU,2021,23
Peru,135,PER,2021,50
Brazil,140,BRA,2021,50
Bolivia,145,BOL,2021,10
Paraguay,150,PRY,2021,12
Chile,155,CHL,2021,34
Argentina,160,ARG,2021,22
Uruguay,165,URY,2021,15
United Kingdom,200,GBR,2021,9563
Ireland,205,IRL,2021,10
Netherlands,210,NLD,2021,392
Belgium,211,BEL,2021,1143
Luxembourg,212,LUX,2021,7
France,220,FRA,2021,75
Monaco,221,MCO,2021,0
Liechtenstein,223,LIE,2021,0
Switzerland,225,CHE,2021,20
Spain,230,ESP,2021,3233
Andorra,232,AND,2021,0
Portugal,235,PRT,2021,259
Germany,255,DEU,2021,35457
Poland,290,POL,2021,167
Austria,305,AUT,2021,30
Hungary,310,HUN,2021,77
Czechia,316,CZE,2021,15
Slovakia,317,SVK,2021,12
Italy,325,ITA,2021,12434
San Marino,331,SMR,2021,0
Malta,338,MLT,2021,11
Albania,339,ALB,2021,12
Montenegro,341,MNE,2021,0
North Macedonia,343,MKD,2021,13
Croatia,344,HRV,2021,10
Yugoslavia,345,NA,2021,13
Bosnia & Herzegovina,346,BIH,2021,10
Kosovo,347,NA,2021,14
Slovenia,349,SVN,2021,9
Greece,350,GRC,2021,429
Cyprus,352,CYP,2021,11
Bulgaria,355,BGR,2021,22
Moldova,359,MDA,2021,8
Romania,360,ROU,2021,132
Russia,365,RUS,2021,39
Estonia,366,EST,2021,15
Latvia,367,LVA,2021,14
Lithuania,368,LTU,2021,18
Ukraine,369,UKR,2021,44
Belarus,370,BLR,2021,1
Armenia,371,ARM,2021,10
Georgia,372,GEO,2021,36
Azerbaijan,373,AZE,2021,13
Finland,375,FIN,2021,17
Sweden,380,SWE,2021,28
Norway,385,NOR,2021,81
Denmark,390,DNK,2021,17
Iceland,395,ISL,2021,2
Cape Verde,402,CPV,2021,0
Sao Tome and Principe,403,STP,2021,0
Guinea-Bissau,404,GNB,2021,0
Equatorial Guinea,411,GNQ,2021,0
Gambia,420,GMB,2021,7
Mali,432,MLI,2021,23
Senegal,433,SEN,2021,17
Benin,434,BEN,2021,6
Mauritania,435,MRT,2021,14
Niger,436,NER,2021,30
Cote d'Ivoire,437,CIV,2021,11
Guinea,438,GIN,2021,10
Burkina Faso,439,BFA,2021,20
Liberia,450,LBR,2021,10
Sierra Leone,451,SLE,2021,8
Ghana,452,GHA,2021,18
Togo,461,TGO,2021,7
Cameroon,471,CMR,2021,13
Nigeria,475,NGA,2021,32
Gabon,481,GAB,2021,11
Central African Republic,482,CAF,2021,13
Chad,483,TCD,2021,17
Congo - Brazzaville,484,COG,2021,8
Congo - Kinshasa,490,COD,2021,18
Uganda,500,UGA,2021,14
Kenya,501,KEN,2021,97
Tanzania,510,TZA,2021,17
Burundi,516,BDI,2021,9
Rwanda,517,RWA,2021,11
Somalia,520,SOM,2021,50
Djibouti,522,DJI,2021,68
Ethiopia,530,ETH,2021,18
Eritrea,531,ERI,2021,0
Angola,540,AGO,2021,11
Mozambique,541,MOZ,2021,13
Zambia,551,ZMB,2021,9
Zimbabwe,552,ZWE,2021,12
Malawi,553,MWI,2021,8
South Africa,560,ZAF,2021,42
Namibia,565,NAM,2021,10
Lesotho,570,LSO,2021,0
Botswana,571,BWA,2021,16
Eswatini,572,SWZ,2021,8
Madagascar,580,MDG,2021,11
Comoros,581,COM,2021,0
Mauritius,590,MUS,2021,2
Seychelles,591,SYC,2021,0
Morocco,600,MAR,2021,25
Algeria,615,DZA,2021,10
Tunisia,616,TUN,2021,23
Libya,620,LBY,2021,0
Sudan,625,SDN,2021,15
South Sudan,626,SSD,2021,0
Iran,630,IRN,2021,0
Turkey,640,TUR,2021,1753
Iraq,645,IRQ,2021,2500
Egypt,651,EGY,2021,292
Syria,652,SYR,2021,900
Lebanon,660,LBN,2021,21
Jordan,663,JOR,2021,88
Israel,666,ISR,2021,106
Saudi Arabia,670,SAU,2021,1386
Yemen,679,YEM,2021,5
Kuwait,690,KWT,2021,2614
Bahrain,692,BHR,2021,3658
Qatar,694,QAT,2021,487
United Arab Emirates,696,ARE,2021,200
Oman,698,OMN,2021,26
Afghanistan,700,AFG,2021,0
Turkmenistan,701,TKM,2021,10
Tajikistan,702,TJK,2021,8
Kyrgyzstan,703,KGZ,2021,9
Uzbekistan,704,UZB,2021,12
Kazakhstan,705,KAZ,2021,24
China,710,CHN,2021,50
Mongolia,712,MNG,2021,12
Taiwan,713,TWN,2021,0
North Korea,731,PRK,2021,1
South Korea,732,KOR,2021,25592
Japan,740,JPN,2021,55990
India,750,IND,2021,49
Bhutan,760,BTN,2021,0
Pakistan,770,PAK,2021,67
Bangladesh,771,BGD,2021,9
Myanmar (Burma),775,MMR,2021,11
Sri Lanka,780,LKA,2021,13
Maldives,781,MDV,2021,0
Nepal,790,NPL,2021,12
Thailand,800,THA,2021,99
Cambodia,811,KHM,2021,11
Laos,812,LAO,2021,13
Vietnam,816,VNM,2021,29
Malaysia,820,MYS,2021,16
Singapore,830,SGP,2021,183
Brunei,835,BRN,2021,3
Philippines,840,PHL,2021,125
Indonesia,850,IDN,2021,28
Timor-Leste,860,TLS,2021,0
Australia,900,AUS,2021,1767
Papua New Guinea,910,PNG,2021,2
New Zealand,920,NZL,2021,14
Vanuatu,935,VUT,2021,0
Solomon Islands,940,SLB,2021,0
Kiribati,946,KIR,2021,0
Tuvalu,947,TUV,2021,0
Fiji,950,FJI,2021,2
Tonga,955,TON,2021,0
Nauru,970,NRU,2021,0
Marshall Islands,983,MHL,2021,17
Palau,986,PLW,2021,111
Micronesia (Federated States of),987,FSM,2021,2
Samoa,990,WSM,2021,0
Gibraltar,1001,GIB,2021,3
Greenland,1002,GRL,2021,140
Bermuda,1007,BMU,2021,3
Guam,1008,GUM,2021,6273
Hong Kong,1009,HKG,2021,14
Montenegro,1010,MNE,2021,10
Northern Mariana Islands,1011,MNP,2021,22
Taiwan,1012,TWN,2021,39
U.S. Virgin Islands,1013,VIR,2021,12
Wake Island,1014,NA,2021,3
Netherlands Antilles,1016,NA,2021,0
South Sudan,1020,SSD,2021,17
Akrotiri,1021,NA,2021,1
UNKNOWN,1099,NA,2021,10897
